entity_id,state,last_changed
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:15:32.622Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:31:52.575Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:33:12.571Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:34:42.563Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:37:32.557Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:38:52.549Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:39:02.554Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:42:32.542Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:43:42.541Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:46:12.532Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:46:22.533Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:49:22.519Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:52:02.516Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:54:32.501Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:55:12.506Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:55:32.500Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:55:52.502Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:57:42.496Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:59:12.488Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:00:22.488Z
sensor.airsense2_bme680_temperature,11.4,2026-01-06T00:20:22.426Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:20:32.424Z
sensor.airsense2_bme680_temperature,11.4,2026-01-06T00:23:52.412Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:26:42.406Z
sensor.airsense2_bme680_temperature,11.4,2026-01-06T00:36:22.375Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:37:02.375Z
sensor.airsense2_bme680_temperature,11.4,2026-01-06T00:37:42.371Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:39:12.372Z
sensor.airsense2_bme680_temperature,11.4,2026-01-06T00:39:22.372Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T00:39:32.370Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T01:12:42.265Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T01:13:22.261Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:01:52.111Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T02:02:32.106Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:02:42.114Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T02:02:52.109Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:03:12.109Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T02:03:52.105Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:42:11.990Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T02:43:01.982Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:47:11.974Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T02:51:31.962Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T02:51:51.954Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T03:02:41.923Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T03:02:51.923Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T03:05:01.921Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T03:09:41.901Z
sensor.airsense2_bme680_temperature,11.3,2026-01-06T03:09:51.900Z
sensor.airsense2_bme680_temperature,11.2,2026-01-06T03:10:11.903Z
